Cuneiform,Transcription
𐎠𐎲𐎼,abara
𐎠𐎲𐎡𐎹,abiy
𐎠𐎭𐎶,adam
𐎠𐎭𐎼𐏁𐎡𐎹,adaršiy
𐎠𐏃𐎫𐎡𐎹,ahatiy
𐎠𐎴𐎠,anā
𐎠𐎴𐎡𐎹𐎴𐎠,aniyanā
𐎠𐎼𐎲𐎠𐎹,Arabāya
𐎠𐎼𐎷𐎡𐎴,Armina
𐎠𐎿𐎥𐎼𐎫,Asagarta
𐎠𐎫𐎼𐎿,atarsa
𐎠𐎢𐎼𐎠,Aurā
𐎠𐎢𐎼𐎶𐏀𐎭𐎠𐏃𐎠,Auramazdāhā
𐎠𐎺𐎰𐎠,avaϑā
𐎠𐎧𐏁𐎫𐎠,axšatā
𐎠𐎰𐎢𐎼𐎠	,Aϑurā
𐎲𐎠𐎲𐎡𐎽𐎢𐏁,Bābirauš
𐎲𐎠𐎪𐎡𐎶,bājim
𐎲𐎠𐎧𐎫𐎼𐎡𐏁,Bāxtriš
𐎭𐏃𐎹𐎠𐎺,dahyāva
𐎭𐏃𐎹𐎢𐎴𐎠𐎶,dahyūnām
𐎭𐎠𐎼𐎹𐎺𐎢𐏁,Dārayavauš
𐎭𐎼𐎹,draya
𐎭𐎼𐎹𐏃𐎹𐎠,drayahyā
𐎯𐎢𐎺𐎡𐏁𐎫𐎶,duvaištam
𐎥𐎭𐎠𐎼,Gadāra
𐏃𐎨𐎠,hacā
𐏃𐎨𐎠𐎶,hacāma
𐏃𐎭𐎠,hadā
𐏃𐎼𐎡𐎺,Haraiva
𐏃𐎼𐎢𐎺𐎫𐎡𐏁,Harauvatiš
𐏃𐎢𐎺𐎨𐎡𐎹,hauvciy
𐏃𐎧𐎠𐎶𐎴𐎡𐏁𐎡𐎹,Haxāmanišiya
𐏃𐎡𐎯𐎢𐏁,Hiduš
𐏃𐎹𐎠,hyā
𐎡𐎶𐎠,imām
𐎡𐎶𐎠𐎶,imām
𐎣𐎠𐎼,kāra
𐎣𐎠𐎼𐎠,kārā
𐎣𐎠𐎼𐎶,kāram
𐎣𐎫𐎱𐎬𐎢𐎣,Katpatuka
𐎶𐎠,mā
𐎶𐎠𐎭,Māda
𐎶𐎣,Maka
𐎶𐎴𐎠,manā
𐎶𐎴𐎡𐎹𐎠𐏃𐎹,maniyāhay
𐎸𐎢𐎭𐎼𐎠𐎹𐎠,Mudrāyā
𐎴𐎡𐎼𐎿𐎠𐎫𐎡𐎹,nirasātiy
𐎱𐎠𐎮𐎡𐎹,pādiy
𐎱𐎼,para
𐎱𐎠𐎼𐎿,Pārsa
𐎱𐎠𐎼𐎿𐎠,Pārsā
𐎱𐎠𐎼𐎿𐎶,Pārsam
𐎱𐎽𐎢𐎴𐎠𐎶,parūnām
𐎱𐎼𐎰𐎺,Parϑava
𐎱𐎠𐎫,pāta
𐎱𐎢𐏂,puça
𐎿𐎣𐎠,Sakā
𐏁𐎡𐎹𐎠𐎫𐎡𐏁,šiyātiš
𐎿𐎱𐎼𐎭,Sparda
𐎿𐎢𐎦𐎭,Suguda
𐎫𐎼𐎿𐎶,tarsam
𐎫𐎹𐎠,tyā
𐎫𐎹,tyaišām
𐎫𐎹𐎡𐏁𐎠𐎶,tyaišām
𐎫𐎹𐎡𐎹,tyaiy
𐎢𐏁𐎣𐏃𐎹𐎠,uškahyā
𐎢𐎫𐎠,utā
𐎢𐎺𐎠𐎼𐏀𐎷𐎡𐎹,Uvārazmīy
𐎢𐎺𐎩,Ūvja
𐎺𐏁𐎴𐎠,vašnā
𐎺𐏀𐎼𐎣,vazraka
𐎻𐎡𐏁𐎫𐎠𐎿𐎱𐏃𐎹𐎠,Vištāspahyā
𐎻𐎡𐎰𐎶,viϑam
𐎧𐏁𐎠𐎹𐎰<𐎡>𐎹,xšāyaϑiya
𐎧𐏁𐎠𐎹𐎰𐎡𐎹,xšāyaϑiya
𐎧𐏁𐎠𐎹𐎰𐎡𐎹𐎠𐎴𐎠𐎶,xšāyaϑiyānām
𐎹𐎮𐎡𐎹,yadiy
𐎹𐎢𐎴𐎠,Yaunā
𐏀𐎼𐎣,Zraka
𐎰𐎫𐎦𐎢𐏁,Θataguš
𐎰𐎠𐎫𐎡𐎹,ϑātiy
