Image,Caption,Rights,Source
urn:cite:oldpersian:img.3936190483_3367896144_o,"Overview of Behistun inscription","Photo credit: dynamosquito (https://www.flickr.com/photos/dynamosquito/3936190483)  / Foter (http://foter.com/), Creative Commons Attribution-ShareAlike 2.0 Generic (CC BY-SA 2.0)","http://foter.com/photo/stone-record-at-behistun-2/"
urn:cite:oldpersian:img.kt_pl_vi,"Drawing showing positions of Elamite, Babylonian and Old Persian inscritions at Behistun",Public domain,http://www.iranicaonline.org/uploads/files/Bisotun/v4f3a043_f13_300.jpg
urn:cite:oldpersian:img.wmc_BehistunInscriptiondetail,"Detail of part of Behistun inscription","'BehistunInscriptiondetail' by KendallKDown - From my own collection. Licensed under Creative Commons Attribution-Share Alike 3.0 via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:BehistunInscriptiondetail.jpg#mediaviewer/File:BehistunInscriptiondetail.jpg",http://commons.wikimedia.org/wiki/File:BehistunInscriptiondetail.jpg
urn:cite:oldpersian:img.IMG_35511,"Overview of inscription of Xerxes at Van","Not explicitly stated: http://www.travelphotoreport.com/2012/09/28/ancient-old-persian-babylonian-elamite-inscriptions-5bc/",http://www.travelphotoreport.com/2012/09/28/ancient-old-persian-babylonian-elamite-inscriptions-5bc/
urn:cite:oldpersian:img.van_xv,"Overview of inscription of Xerxes at Van","Photog by Marco Prins, licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International",http://www.livius.org/pictures/turkey/van/van-citadel/van-inscription-of-xerxes/
urn:cite:oldpersian:img.DPa_livius,"Inscription of Darius from Persepolis, DPa","Licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International","http://www.livius.org/arl-arz/aryans/alphabet.html#DPa"
urn:cite:oldpersian:img.XPe_livius,"Inscription of Xerxes from Persepolis, XPe","Licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International","http://www.livius.org/a/1/inscriptions/XPe.jpg"
urn:cite:oldpersian:img.Behistun_DB1_1-15,"DB, column 1, lines 1-15","Behistun DB1 1-15. Licensed under Public domain via Wikimedia Commons - http://commons.wikimedia.org/wiki/File:Behistun_DB1_1-15.jpg#mediaviewer/File:Behistun_DB1_1-15.jpg",http://commons.wikimedia.org/wiki/File:Behistun_DB1_1-15.jpg
urn:cite:oldpersian:img.niebuhr1778bd2-page511,"Niebuhr, plate 18: 'plan of the palace at Persepolis'","public domain image from the Universitätsbibliothek, Heidelberg",""
urn:cite:oldpersian:img.niebuhr1778bd2-page512,"Niebuhr, plate 19: 'view of the ruins of Persepolis'","public domain image from the Universitätsbibliothek, Heidelberg",""
urn:cite:oldpersian:img.niebuhr1778bd2-page517,"Niebuhr, plate 24: 'various inscriptions from Persepolis in three different scripts'","public domain image from the Universitätsbibliothek, Heidelberg",""
urn:cite:oldpersian:img.niebuhr1778bd2-page523,"Niebuhr, plate 30: 'Drawing of the figures on the door posts'","public domain image from the Universitätsbibliothek, Heidelberg",""
urn:cite:oldpersian:img.niebuhr1778bd2-page524,"Niebuhr, plate 31: 'Persopolitan inscriptions in three scripts'","public domain image from the Universitätsbibliothek, Heidelberg",""
urn:cite:oldpersian:img.titus_dpe,"Photograph of inscription DPe, from the TITUS project corpus of Old Persian by J. Gippert, J. Martínez García and M. Esnaashari with photographs by V. Jung (2001) and A. Sarhadi (2011), Frankfurt a/M, 1997 / 28.2.1998 / 22.6.1998 / 1.6.2000 / 11.6.2011, found at http://titus.fkidg1.uni-frankfurt.de/texte/etcs/iran/airan/apers/apers.htm?apers028.htm#OPers._DPe","Not-for-profit use by permission of the copyright holder","http://titus.fkidg1.uni-frankfurt.de/texte/etcs/iran/airan/apers/apers.htm?apers028.htm#OPers._DPe"
urn:cite:oldpersian:img.DPe_livius,"Inscription of Darius at Persepolis, DPe","Photograph by Marco Prins, licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International",http://www.livius.org/aa-ac/achaemenians/DPe.html
urn:cite:oldpersian:img.DPd-e_livius,"Southern terrace wall at Persepolis, inscriptions DPd and DPe","Photograph by Marco Prins, licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International",http://www.livius.org/pen-pg/persepolis/persepolis_terrace.html
urn:cite:oldpersian:img.DSe_livius,"Copy of inscription of Darius from Susa in British Museum, DSe","Licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International","http://www.livius.org/arl-arz/aryans/alphabet.html#DPa"
urn:cite:oldpersian:img.DSy_livius,"Inscribed status base of Darius from Susa, DSy","Licenced under the Creative Commons Attribution-NonCommercial-ShareAlike 4.0 International",http://www.livius.org/aa-ac/achaemenians/DSy.html
urn:cite:oldpersian:img.titus_dna,"Photograph of inscription DNa, from the TITUS project corpus of Old Persian by J. Gippert, J. Martínez García and M. Esnaashari with photographs by V. Jung (2001) and A. Sarhadi (2011), Frankfurt a/M, 1997 / 28.2.1998 / 22.6.1998 / 1.6.2000 / 11.6.2011, found at http://titus.fkidg1.uni-frankfurt.de/texte/etcs/iran/airan/apers/apers.htm","Not-for-profit use by permission of the copyright holder","http://titus.fkidg1.uni-frankfurt.de/texte/etcs/iran/airan/apers/apers.htm"
