Inscription,Patron,Site,Label,Languages
urn:cite:oldpersian:inscr.CMa,urn:cite:oldpersian:king.Cyrus,urn:cite:oldpersian:site.4,CMa,
urn:cite:oldpersian:inscr.CMb,urn:cite:oldpersian:king.Cyrus,urn:cite:oldpersian:site.4,CMb,
urn:cite:oldpersian:inscr.CMc,urn:cite:oldpersian:king.Cyrus,urn:cite:oldpersian:site.4,CMc,
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DB,
urn:cite:oldpersian:inscr.DBa,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBa,
urn:cite:oldpersian:inscr.DBb,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBb,
urn:cite:oldpersian:inscr.DBc,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBc,
urn:cite:oldpersian:inscr.DBd,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBc,
urn:cite:oldpersian:inscr.DBe,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBe,
urn:cite:oldpersian:inscr.DBf,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBf,
urn:cite:oldpersian:inscr.DBg,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBg,
urn:cite:oldpersian:inscr.DBh,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBh,
urn:cite:oldpersian:inscr.DBi,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBi,
urn:cite:oldpersian:inscr.DBj,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBj,
urn:cite:oldpersian:inscr.DBk,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.1,DBk,
urn:cite:oldpersian:inscr.DPa,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPa,
urn:cite:oldpersian:inscr.DPb,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPb,
urn:cite:oldpersian:inscr.DPc,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPc,
urn:cite:oldpersian:inscr.DPd,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPd,
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,"Inscription of Darius DPe, on the south retaining wall of the at Persepolis","monolingual"
urn:cite:oldpersian:inscr.DPh,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPh,
urn:cite:oldpersian:inscr.DPi,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.6,DPi,
urn:cite:oldpersian:inscr.DNa,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.5,DNa,
urn:cite:oldpersian:inscr.DNb,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.5,DNb,
urn:cite:oldpersian:inscr.DNc,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.5,DNc,
urn:cite:oldpersian:inscr.DNd,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.5,DNd,
urn:cite:oldpersian:inscr.DSa,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSa,
urn:cite:oldpersian:inscr.DSb,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSb,
urn:cite:oldpersian:inscr.DSc,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSc,
urn:cite:oldpersian:inscr.DSd,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSd,
urn:cite:oldpersian:inscr.DSe,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSe,
urn:cite:oldpersian:inscr.DSf,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSf,
urn:cite:oldpersian:inscr.DSg,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSg,
urn:cite:oldpersian:inscr.DSi,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSi,
urn:cite:oldpersian:inscr.DSj,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSj,
urn:cite:oldpersian:inscr.DSk,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSk,
urn:cite:oldpersian:inscr.DSl,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSl,
urn:cite:oldpersian:inscr.DSm,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSm,
urn:cite:oldpersian:inscr.DSn,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSn,
urn:cite:oldpersian:inscr.DSo,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSo,
urn:cite:oldpersian:inscr.DSp,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSp,
urn:cite:oldpersian:inscr.DSq,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSq,
urn:cite:oldpersian:inscr.DSs,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSs,
urn:cite:oldpersian:inscr.DSt,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSt,
urn:cite:oldpersian:inscr.DSy,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSy,
urn:cite:oldpersian:inscr.DSz,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.7,DSz,
urn:cite:oldpersian:inscr.DZa,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.9,DZa,
urn:cite:oldpersian:inscr.DZb,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.9,DZb,
urn:cite:oldpersian:inscr.DZc,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.9,DZc,
urn:cite:oldpersian:inscr.DE,urn:cite:oldpersian:king.Darius,urn:cite:oldpersian:site.2,DE,
urn:cite:oldpersian:inscr.XPa,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPa,
urn:cite:oldpersian:inscr.XPb,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPb,
urn:cite:oldpersian:inscr.XPc,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPc,
urn:cite:oldpersian:inscr.XPd,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPd,
urn:cite:oldpersian:inscr.XPe,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPe,
urn:cite:oldpersian:inscr.XPf,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPf,
urn:cite:oldpersian:inscr.XPg,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPg,
urn:cite:oldpersian:inscr.XPh,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPh,
urn:cite:oldpersian:inscr.XPi,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPi,
urn:cite:oldpersian:inscr.XPj,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPj,
urn:cite:oldpersian:inscr.XPk,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.6,XPk,
urn:cite:oldpersian:inscr.XSa,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.7,XSa,
urn:cite:oldpersian:inscr.XSc,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.7,XSc,
urn:cite:oldpersian:inscr.XE,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.2,XE,
urn:cite:oldpersian:inscr.XV,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.8,XV,
urn:cite:oldpersian:inscr.XH,urn:cite:oldpersian:king.Xerxes,urn:cite:oldpersian:site.3,XH,
urn:cite:oldpersian:inscr.A1Pa,urn:cite:oldpersian:king.Artaxerxes1,urn:cite:oldpersian:site.6A,A1Pa,
urn:cite:oldpersian:inscr.D2Sa,urn:cite:oldpersian:king.Darius2,urn:cite:oldpersian:site.7,D2Sa,
urn:cite:oldpersian:inscr.D2Sb,urn:cite:oldpersian:king.Darius2,urn:cite:oldpersian:site.7,D2Sb,
urn:cite:oldpersian:inscr.A2Sa,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.7,A2Sa,
urn:cite:oldpersian:inscr.A2Sb,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.7,A2Sb,
urn:cite:oldpersian:inscr.A2Sc,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.7,A2Sc,
urn:cite:oldpersian:inscr.A2Sd,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.7,A2Sd,
urn:cite:oldpersian:inscr.A2Ha,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.3,A2Ha,
urn:cite:oldpersian:inscr.A2Hb,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.3,A2Hb,
urn:cite:oldpersian:inscr.A2Hc,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.3,A2Hc,
urn:cite:oldpersian:inscr.A2Hd,urn:cite:oldpersian:king.Artaxerxes2,urn:cite:oldpersian:site.3,A2Hd,
urn:cite:oldpersian:inscr.A3Pa,urn:cite:oldpersian:king.Artaxerxes3,urn:cite:oldpersian:site.6,A3Pa,
