Word,Transliteration,Transcription
urn:cite:oldpersian:orth.form149,a-ba-i-ca-ra-i-sha,
urn:cite:oldpersian:orth.form3,a-ba-i-ya,abiy
urn:cite:oldpersian:orth.form1,a-ba-ra,abara
urn:cite:oldpersian:orth.form197,a-ba-ra-ma,
urn:cite:oldpersian:orth.form188,a-ba-ra-ta-a,
urn:cite:oldpersian:orth.form143,a-ba-va,abava
urn:cite:oldpersian:orth.form87,a-ba-va-ma,abavam
urn:cite:oldpersian:orth.form110,a-da-a,adā
urn:cite:oldpersian:orth.form4,a-da-ma,adam
urn:cite:oldpersian:orth.form101,a-da-ma-sha-i-sha,adamšiš
urn:cite:oldpersian:orth.form5,a-da-ra-sha-i-ya,adaršiy
urn:cite:oldpersian:orth.form147,a-da-ra-sha-na-u-sha,
urn:cite:oldpersian:orth.form150,a-di-i-na-a,
urn:cite:oldpersian:orth.form103,a-du-u-ru-u-ji-i-ya,adurujiya
urn:cite:oldpersian:orth.form100,a-ga-ra-ba-a-ya-ma,agarbāyam
urn:cite:oldpersian:orth.form195,a-ga-ra-i-ya,
urn:cite:oldpersian:orth.form101,a-ha,āha
urn:cite:oldpersian:orth.form172,a-ha-ma,
urn:cite:oldpersian:orth.form175,a-ha-ta-a,
urn:cite:oldpersian:orth.form6,a-ha-ta-i-ya,ahatiy
urn:cite:oldpersian:orth.form118,a-i-va-ma,aivam
urn:cite:oldpersian:orth.form90,a-ja-na-ma,ajanam
urn:cite:oldpersian:orth.form117,a-ku-u-na-u-sha,akunauš
urn:cite:oldpersian:orth.form88,a-ku-u-na-va-ma,akunavam
urn:cite:oldpersian:orth.form193,a-ku-u-na-va-ya-ta-a,
urn:cite:oldpersian:orth.form144,a-ku-u-ta-a,
urn:cite:oldpersian:orth.form164,a-ma-a-ta-a,
urn:cite:oldpersian:orth.form139,a-ma-ha-ya,
urn:cite:oldpersian:orth.form140,a-ma-a-xa-ma,
urn:cite:oldpersian:orth.form161,a-mi-i-ya,
urn:cite:oldpersian:orth.form7,a-na-a,anā
urn:cite:oldpersian:orth.form151,a-na-i-ya-a,
urn:cite:oldpersian:orth.form200,a-pa-ra-sa-ma,
urn:cite:oldpersian:orth.form8,a-na-i-ya-na-a,aniyanā
urn:cite:oldpersian:orth.form9,a-ra-ba-a-ya,Arabāya
urn:cite:oldpersian:orth.form198,a-ra-i-ka,
urn:cite:oldpersian:orth.form10,a-ra-mi-i-na,Armina
urn:cite:oldpersian:orth.form179,a-ra-sa-ma,
urn:cite:oldpersian:orth.form133,a-ra-sha-a-ma,
urn:cite:oldpesian:orth.form127,a-ra-sha-a-ma-ha-ya-a,
urn:cite:oldpesian:orth.form134,a-ra-i-ya-a-ra-ma-na,
urn:cite:oldpesian:orth.form162,a-ra-i-ya-a-ra-ma-na-ha-ya-a,
urn:cite:oldpersian:orth.form11,a-sa-ga-ra-ta,Asagarta
urn:cite:oldpersian:orth.form194,a-ta-ra,
urn:cite:oldpersian:orth.form12,a-ta-ra-sa,atarsa
urn:cite:oldpersian:orth.form102,a-tha-ha,aϑaha
urn:cite:oldpersian:orth.form189,a-tha-ha-ya,
urn:cite:oldpersian:orth.form13,a-u-ra-a,Aurā
urn:cite:oldpersian:orth.form107,a-u-ra-ma-za-da-a,Auramazdā
urn:cite:oldpersian:orth.form14,a-u-ra-ma-za-da-a-ha-a,Auramazdāhā
urn:cite:oldpersian:orth.form97,a-u-ra-ma-za-da-a-ha,Auramazdāha
urn:cite:oldpersian:orth.form145,a-u-ra-ma-za-da-a-ma,
urn:cite:oldpersian:orth.form192,a-va,
urn:cite:oldpersian:orth.form192,a-va-ma,
urn:cite:oldpersian:orth.form176,a-va-a-ja-na-i-ya-a,
urn:cite:oldpersian:orth.form160,a-va-a-ja-na-ma,
urn:cite:oldpersian:orth.form15,a-va-tha-a,avaϑā
urn:cite:oldpersian:orth.form16,a-xa-sha-ta-a,axšatā
urn:cite:oldpersian:orth.form17,a-tha-u-ra-a,Aϑurā
urn:cite:oldpersian:orth.form136,a-va-ha-ya-ra-a-di-i-ya,
urn:cite:oldpersian:orth.form18,ba-a-ba-i-ru-u-sha,Bābirauš
urn:cite:oldpersian:orth.form96,ba-a-ba-i-ra-u-va,Bābirauv
urn:cite:oldpersian:orth.form19,ba-a-ji-i-ma,bājim
urn:cite:oldpersian:orth.form20,ba-a-xa-ta-ra-i-sha,Bāxtriš
urn:cite:oldpersian:orth.form174,ba-da-ka-a,
urn:cite:oldpersian:orth.form180,ba-a-ga-ya-a-da-i-sha,
urn:cite:oldpersian:orth.form104,ba-ga,baga
urn:cite:oldpersian:orth.form106,ba-ga-a-na-a-ma,bagānam
urn:cite:oldpersian:orth.form108,ba-u-mi-i-ma,bumim
urn:cite:oldpersian:orth.form134,ca-i-sha-pa-i-sha,
urn:cite:oldpersian:orth.form21,da-ha-ya-a-va,dahyāva
urn:cite:oldpersian:orth.form22,da-ha-ya-u-na-a-ma,dahyūnām
urn:cite:oldpersian:orth.form23,da-a-ra-ya-va-u-sha,Dārayavauš
urn:cite:oldpersian:orth.form24,da-ra-ya,draya
urn:cite:oldpersian:orth.form25,da-ra-ya-ha-ya-a,drayahyā
urn:cite:oldpersian:orth.form26,du-u-va-i-sha-ta-ma,duvaištam
urn:cite:oldpersian:orth.form168,du-u-vi-i-ta-a-pa-ra-na-ma,
urn:cite:oldpersian:orth.form170,fa-ra-a-ba-ra,
urn:cite:oldpersian:orth.form173,fa-ra-ha-ra-va-ma,
urn:cite:oldpersian:orth.form119,fa-ra-ma-a-ta-a-ra-ma,framātāram
urn:cite:oldpersian:orth.form27,ga-da-a-ra,Gadāra
urn:cite:oldpersian:orth.form159,ga-a-tha-va-a,
urn:cite:oldpersian:orth.form124,ga-u-ma-a-ta,Gaumāta
urn:cite:oldpersian:orth.form28,ha-ca-a,hacā
urn:cite:oldpersian:orth.form29,ha-ca-a-ma,hacāma
urn:cite:oldpersian:orth.form30,ha-da-a,hadā
urn:cite:oldpersian:orth.form123,ha-ma-ha-ya-a-ya-a,hamahayāyā
urn:cite:oldpersian:orth.form99,ha-ma-ra-na-a,hamaranā
urn:cite:oldpersian:orth.form154,ha-ma-ta-xa-sha-i-ya,
urn:cite:oldpersian:orth.form31,ha-ra-i-va,Haraiva
urn:cite:oldpersian:orth.form32,ha-ra-u-va-ta-i-sha,Harauvatiš
urn:cite:oldpersian:orth.form94,ha-u-va,hauv
urn:cite:oldpersian:orth.form33,ha-u-va-ca-i-ya,hauvciy
urn:cite:oldpersian:orth.form135,ha-xa-a-ma-na-i-sha,
urn:cite:oldpersian:orth.form34,ha-xa-a-ma-na-i-sha-i-ya,Haxāmanišiya
urn:cite:oldpersian:orth.form35,ha-i-du-u-sha,Hiduš
urn:cite:oldpersian:orth.form105,ha-ya,hya
urn:cite:oldpersian:orth.form36,ha-ya-a,hyā
urn:cite:oldpersian:orth.form163,ha-xa-a-ma-na-i-sha-i-ya-a,
urn:cite:oldpersian:orth.form37,i-ma-a,imā
urn:cite:oldpersian:orth.form84,i-ma,ima
urn:cite:oldpersian:orth.form38,i-ma-a-ma,imām
urn:cite:oldpersian:orth.form39,ka-a-ra,kāra
urn:cite:oldpersian:orth.form40,ka-a-ra-a,kārā
urn:cite:oldpersian:orth.form148,ka-a-ra-ha-ya-a,
urn:cite:oldpersian:orth.form41,ka-a-ra-ma,kāram
urn:cite:oldpersian:orth.form85,ka-ra-ta-ma,kartam
urn:cite:oldpersian:orth.form42,ka-ta-pa-tu-u-ka,Katpatuka
urn:cite:oldpersian:orth.form146,ku-u-ra-u-sha,
urn:cite:oldpersian:orth.form43,ma-a,mā
urn:cite:oldpersian:orth.form44,ma-a-da,Māda
urn:cite:oldpersian:orth.form181,ma-a-ha-ya-a,
urn:cite:oldpersian:orth.form177,ma-gu-u-ma,
urn:cite:oldpersian:orth.form93,ma-gu-u-sha,maguš
urn:cite:oldpersian:orth.form45,ma-ka,Maka
urn:cite:oldpersian:orth.form46,ma-na-a,manā
urn:cite:oldpersian:orth.form47,ma-na-i-ya-a-ha-ya,maniyāhay
urn:cite:oldpersian:orth.form142,ma-ra-ta-i-ya,martiya
urn:cite:oldpersian:orth.form112,ma-ra-ta-i-ya-ha-ya-a,martiyahyā
urn:cite:oldpersian:orth.form111,ma-ra-ta-i-ya-ma,martiyam
urn:cite:oldpersian:orth.form109,ma-tha-i-sha-ta,maϑišta
urn:cite:oldpersian:orth.form48,mu-u-da-ra-a-ya-a,Mudrāyā
