Inscription,Patron
urn:cite:oldpersian:inscr.CMa,urn:cite:oldpersian:king.Cyrus
urn:cite:oldpersian:inscr.CMb,urn:cite:oldpersian:king.Cyrus
urn:cite:oldpersian:inscr.CMc,urn:cite:oldpersian:king.Cyrus
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBa,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBb,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBc,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBd,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBe,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBf,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBg,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBh,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBi,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBj,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DBk,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPa,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPb,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPc,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPd,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPh,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DPi,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DNa,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DNb,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DNc,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DNd,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSa,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSb,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSc,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSd,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSe,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSf_louvre,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSg,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSi,urn:cite:oldpersian:king.Darius
urn:cite:oldpersian:inscr.DSj,urn:cite:oldpersian:king.Darius
