urn:cite:oldpersian:inscr.DPa,urn:cite:oldpersian:img.DPa_livius
urn:cite:oldpersian:inscr.DPd,urn:cite:oldpersian:img.DPd-e_livius
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:img.DPd-e_livius
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:img.DPe_livius
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:img.DSe_livius
urn:cite:oldpersian:inscr.DSy,urn:cite:oldpersian:img.DSy_livius
urn:cite:oldpersian:inscr.DWc,urn:cite:oldpersian:img.DWc_livius
urn:cite:oldpersian:inscr.XV,urn:cite:oldpersian:img.IMG_35511
urn:cite:oldpersian:inscr.XPe,urn:cite:oldpersian:img.XPe_livius
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.kt_pl_vi
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan10
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan5
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan6
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan7
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan8
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1col
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_db1-scan8
urn:cite:oldpersian:inscr.DB,urn:cite:oldpersian:img.titus_scan9
urn:cite:oldpersian:inscr.DNa,"urn:cite:oldpersian:img.titus_dna@0.0031,0.0651,0.6279,0.9024"
urn:cite:oldpersian:inscr.DNb,urn:cite:oldpersian:img.titus_dnb
urn:cite:oldpersian:inscr.DNc,urn:cite:oldpersian:img.titus_dnc
urn:cite:oldpersian:inscr.DNd,urn:cite:oldpersian:img.titus_dnd
urn:cite:oldpersian:inscr.DPd,urn:cite:oldpersian:img.titus_dpd
urn:cite:oldpersian:inscr.DPe,urn:cite:oldpersian:img.titus_dpe
urn:cite:oldpersian:inscr.DPe,"urn:cite:oldpersian:img.niebuhr1778bd2-page524@0.4955,0.0168,0.4735,0.436"
urn:cite:oldpersian:inscr.DNd,"urn:cite:oldpersian:img.titus_dnd@0.0825,0.1603,0.8125,0.1036"
urn:cite:oldpersian:inscr.DSf,urn:cite:oldpersian:img.livius_susa_louvre
urn:cite:oldpersian:inscr.DSf,urn:cite:oldpersian:img.wmc_DSf_Louvre
